id,affiliation_name
10.47534078/y7m4a95,University of Toronto
10.76302068/i5k9g45,Università di Roma La Sapienza
10.69090394/g3i1a68,Istituto Italiano di Tecnologia
10.96630632/o6c6y37,Laboratoire Charles Coulomb
10.23573952/y5r9d58,Université de Montpellier
10.39937654/f8r7s44,Universidad Nacional de La Plata
10.33108220/q2q0u32,Universidad Adolfo Ibáñez
10.84343258/z0f6k53,University of Melbourne
10.34123236/y3i2l13,University of Hamburg
10.49572414/e6v0v76,Indian Institute of Technology Guwahati
10.97757898/j2c9o36,Université Libre de Bruxelles
10.91101337/z9u6u88,Université de Montréal
10.42393723/l7c4v38,"Institute of Physics, Polish Academy of Sciences"
10.96404377/b0l6y80,"Institute of Low Temperature and Structure Research, Polish Academy of Sciences"
10.9413074/j9t0f57,Universität Heidelberg
10.62454972/r5p4b45,University College London
10.48432201/p6v7c60,Innospec Ltd.
10.22231398/k5c1o38,The University of Oklahoma
10.45894472/i9x8k06,Delft University of Technology
10.37106031/m8t1q49,Center for Quantum Nanoscience
10.57564540/b3a5h66,EWHA Womans University
10.13681671/q2p2k92,"Universidad de La Laguna, La Laguna"
10.10029626/s9c0o20,Institute of Electrophysics
10.90025503/l6y1f28,Skolkovo Institute of Science and Technology
10.76215074/h7h0r83,Lebedev Physical Institute
10.69912940/y1u7e90,Landau Institute for Theoretical Physics
10.5142441/q9h1i12,Max-Planck-Institut für Kernphysik
10.69786983/t4x1w15,J. Heyrovský Institute of Physical Chemistry
10.53636522/d2m6t88,Universität Innsbruck
10.21106719/q4j6z13,Shenzhen University
10.78793695/i1c6v04,Quantum Science Center of Guangdong-Hong Kong-Macao Greater Bay Area (Guangdong)
10.57552171/z5f0k64,Tencent
10.51602161/w8i8v84,The Chinese University of Hong Kong
10.85492436/k3o4p53,Hainan University
10.43996481/w6c8z61,Harbin Institute of Technology
10.2698066/q7o6t48,University of Granada
10.58836219/s1a2n78,University of Science and Technology of China
10.110167/b0o7s55,Kavli Institute for the Physics and Mathematics of the Universe (WPI)
10.36893396/f9t9n48,CY Cergy Paris Université
10.90536959/g2i6a54,SISSA and INFN
10.11495912/f1c5g36,Institute for Complex Systems
10.60271055/j4c1y99,Max Planck Institute for the Science of Light
10.32757683/g7h4w32,Sapienza University of Rome
10.84028105/b8k8h75,Harish-Chandra Research Institute
10.54776494/n9g5n69,Trinity College Dublin
10.79308720/l3w4g22,Universidad de Chile
10.59940776/m0n2k46,Southern University of Science and Technology
10.66906133/c3q5v11,Los Alamos National Laboratory (LANL)
10.38129347/t6l2w17,Los Alamos National Laboratory
10.36946701/o3i4i31,Chinese Academy of Sciences
10.5927177/o7k4u03,University of Chinese Academy of Sciences
10.37293606/t2z0l86,Songshan Lake Materials Laboratory
10.8426108/m8e2f07,Ruđer Bošković Institute
10.97622984/c7h3d34,Istituto Nazionale di Fisica Nucleare
10.67040069/g9g2x91,Laboratori Nazionali di Legnaro
10.9910382/h8k0a25,Università di Padova
10.85656932/f2q7f11,Università di Torino
10.7865573/j9g4m48,The Henryk Niewodniczanski Institute of Nuclear Physics
10.94118940/u8a2m35,Universidad Complutense de Madrid
10.25912472/p3k8b85,Instituto de Física Corpuscular CSIC
10.65709236/b6l3t59,University of Zagreb
10.4574412/m4y7k49,Argonne National Laboratory
10.38620295/o6r1n42,Istituto Nazionale di Fisica Nucleare
10.56315662/q9c9i69,University of Waterloo
10.90090120/z9g1s85,Perimeter Institute for Theoretical Physics
10.76011505/v1g6s64,University of California
10.3776328/h4f8q94,RWTH Aachen University
10.21222006/e1x1x35,Indian Institute of Technology (ISM) Dhanbad
10.63557483/n8w6n07,Institute of Magnetism
10.40154728/r0m8q53,Fritz-Haber Institute of the Max Planck Society
10.56893592/e3h3k84,The Institute of Mathematical Sciences
10.12382325/u9o8q89,Budker Institute of Nuclear Physics
10.47528497/b1r0c55,Hamburg University
10.73216555/t0i8d44,National Institute of Science Education and Research
10.34779255/g8u7s05,Tsinghua University
10.30352112/j9s9c33,Beijing Academy of Quantum Information Sciences
10.3802540/p7i9l36,Washington University in St. Louis
10.39464730/x1r4g61,Old Dominion University
10.19448695/p6p3d20,Jefferson Lab
10.70685984/a9d9a91,Fritz-Haber-Institut der Max-Planck-Gesellschaft
10.51327582/u1s8b92,Niels Bohr Institute
10.63852976/g1o9m33,University of Copenhagen
10.58410094/j6m1v75,Istituto Officina dei Materiali
10.97053330/k8i3c65,Donostia International Physics Center
10.16250794/p3g6i76,National Research Council of Canada
10.75188074/h6j7g80,École Polytechnique de Montréal
10.40489208/t4w0o61,CERN
10.62148792/n7n3x30,Northwestern University
10.85659493/b2d6g87,Indiana University
10.70013382/d2e4z02,The University of Manchester
10.57624154/e1v4k72,Université Grenoble Alpes
10.43225104/d9x7l82,Institut Néel
10.34729617/z3k4c35,PHELIQS
10.19441669/i4b3o13,Institute of Theoretical Physics
10.53868335/e6e9x24,ETH Zürich
10.81320533/u3d8d37,Weizmann Institute of Science
10.85476258/b3y9k54,SISSA
10.48313320/s7y9c08,Kiel University
10.56922491/d9a5j08,McGill University
10.27531453/b1x3y83,ETH Zurich
10.34045281/y7o9l10,Vanderbilt University
10.31665998/f9l8v92,the Ohio State University
10.6431438/c2v7i13,Wuhan University
10.37894609/y5g1a29,Tel Aviv University
10.46375564/c3q0j35,Shandong University of Technology
10.4440019/k9i5r81,Shandong Normal University
10.74129112/a4v4a38,Institute of Microscale Optoelectronics Shenzhen University
10.72401803/r8q9m61,Zhejiang Lab
10.77422771/b5u9n33,Gulliver
10.83232439/u4j9d20,PSL Research University
10.76952334/j9i6p67,Fudan University
10.53880201/r5p5e44,ShanghaiTech University
10.25215404/h0i6y13,Universität Ulm
10.68881848/z9q1x96,Université Côte d’Azur
10.19238344/q6v1a25,Institut de Physique de Nice
10.27437055/b8r5q91,University of Duisburg-Essen
10.21959991/n8g6c00,University of Vienna
10.10167816/e0j6w60,Ulm University
10.80081489/r0m1f25,Harvard University
10.96440759/y6c5p53,Simons Foundation
10.31232720/n7r0c00,The University of Edinburgh
10.11476862/n7u1c28,GSI Helmholtzzentrum für Schwerionenforschung
10.71724594/d6o6j04,Institute of Modern Physics
10.53591305/p3y7o05,Technische Universität Darmstadt
10.87221775/i2m2k52,University of Salzburg
10.96884910/t2s2l10,University of Štip
10.49049450/r0t6r60,University of Belgrade
10.22009957/r9e2r39,Justus-Liebig-Universität Gießen
10.56581576/a0g0v43,University of Victoria
10.93314124/w2a5r58,Technische Universität München
10.2777922/n3i3e88,J.W. Goethe Universität
10.80180576/x2h8a02,GSI Helmholtz Center for Heavy Ion Research
10.15186559/j8u3m87,RIKEN
10.57474702/x4d3h26,Institut des NanoSciences de Paris
10.12808366/n0c6r62,Saitama University
10.52044574/p1f2k53,Technische Universität Dresden
10.86063236/c3i4w29,Laboratori Nazionali di Frascati
10.52501540/x1o1q41,Institut de Physique des 2 Infinis de Lyon (IP2I)
10.43782685/r6g4l74,Laboratori Nazionali del Gran Sasso
10.49742074/c9o0u66,HEPC-NICPB
10.88793183/k8y7c63,California Institute of Technology
10.47590195/h7f6g22,Eberhard Karls Universität Tübingen
10.64843161/l3c6c28,The University of Nottingham
10.53591545/p0z2s52,University of Gdańsk
10.20762542/u0b5v95,University of Gdansk
10.38799790/b9a1o31,Universidade do Porto
10.75530316/k9s9k95,INESC TEC
10.69756390/b2h2o89,Indian Institute of Science
10.81523061/h2c6i84,Indian Institute of Science Education and Research Thiruvananthapuram
10.90057274/j4x2m13,Bose Institute
10.43040213/b1y2h04,Raman Research Institute
10.22935651/p8w2e53,Pohang University of Science and Technology
10.53504630/y0r0j23,University of Michigan
10.20548498/f3u4t56,The Abdus Salam International Centre for Theoretical Physics
10.37114332/z9a7x59,Universidad Autónoma de Madrid
10.36843658/p9d6j24,Lund University
10.77404787/j8a0z49,Institut des Hautes Études Scientifiques
10.35840328/b0w0p60,University of Pisa
10.48006302/u0x3x17,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences
10.51570702/k1k7r49,University of Nottingham
10.46382440/e0e7d80,Max-Planck-Institut für Quantenoptik
10.66314439/c1d0o49,University of Basel
10.26046023/l6w8h88,Swiss Nanoscience Institute
10.36173018/c7p7m85,University of Illinois
10.32269006/q8r1u37,Aristotle University of Thessaloniki
10.35484136/e2a3t29,Centre de Physique Théorique—CPHT
10.66530747/a0h9j36,Columbia University
10.13440734/i4j9c51,Flatiron Institute
10.44681683/x9u8y11,Stony Brook University
10.54419419/u9n4c27,Seoul National University
10.97189369/n8n0p87,Aix Marseille Univ
10.69004476/e6s3d53,Hunan University
10.86502353/g6o0f17,Georgia Institute of Technology
10.86549206/z2e8d65,University of California Los Angeles
10.13073770/o3l0i60,University of Nevada
10.88420314/b9c1j90,Forschungszentrum Jülich
10.98547416/c6i7a08,Aalto University
10.80619731/l0o7q78,Institute of Polar Sciences CNR
10.19304906/f5e4k55,Jožef Stefan Institute
10.94894532/w1s4e26,SJTU
10.65181538/k4y5r47,Stockholm University
10.19812888/m1v9f75,University of California
10.74759978/e8w0w87,Jilin University
10.88079106/e3k2e79,Peking University
10.52471495/j3r2y08,Shanxi University
10.43625486/n6l7r29,RIKEN
10.38512060/j2r6i84,Shibaura Institute of Technology
10.60295186/j7f1x04,ISIS Neutron and Muon Source
10.25526207/u9i2j92,Rutherford Appleton Laboratory
10.36219912/p1k0p84,RIKEN Nishina Center
10.82514616/r1e8g25,RIKEN Center for Emergence Matter Science (CEMS)
10.59828938/w1h3f44,Kumamoto University
10.44615105/b3c1s71,National Institute for Materials Science
10.56100319/v2o9o11,LOMA
10.44515988/t5w3j92,University of Twente
10.32603337/x6p7j17,CRPP
10.36076944/b3t7q85,Universität Stuttgart
10.52054778/v7d3g50,Leipzig University
10.96992271/r0f9l57,Joint Center for Quantum Information and Computer Science
10.55020180/e5b3f15,Polish Academy of Sciences
10.62966327/n6o4j00,Princeton Plasma Physics Laboratory
10.92762191/w7t5e32,CNRS
10.88062548/l9x6x21,CPT
10.90065808/d6e4g95,Bar-Ilan University
10.69605732/a4a8l71,University of Illinois
10.87965541/o7a0l38,Nordita
10.59985156/i2o9d12,University of Stuttgart
10.36076904/y2x1b57,NIST/University of Maryland
10.30460776/k1q6k55,A*STAR Quantum Innovation Centre (Q.InC)
10.7546366/e7o9g59,Technical University of Munich
10.83262819/n7m9n00,Munich Center for Quantum Science and Technology (MCQST)
10.28751696/g2u6o55,Colorado State University
10.84332662/z0s9a37,Karlsruhe Institute of Technology
10.22798513/i9h8x20,ESRF
10.28860277/a3c6w91,Qingdao University
10.50004481/h7g3w16,Radboud University Nijmegen
10.36129103/b3s9j26,Université de Lige
10.50610381/i1p1e48,Ufa Federal Research Center of the RAS
10.23945211/f3g5a47,Ufa University of Science and Technology
10.68852306/m2s6q37,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions
10.20191473/l0b6n17,Lanzhou University
10.2833204/n5n9p20,Technology Innovation Institute
10.13251134/y7j4r82,Imperial College London
10.50850714/u6g3w95,Emory University
10.95685881/b6w1j82,Technical University of Denmark
10.22637460/n5t5j12,Tokyo Institute of Technology
10.50444891/v8l4x66,JST
10.50813082/x0x3h73,NTT Basic Research Laboratories
10.68778629/i2s9c15,City University of Hong Kong
10.43093027/m3o8r03,Australian National University
10.19232427/l0j6v55,INFN Laboratori Nazionali di Frascati
10.15201300/o7j5h93,University of Rome Tor Vergata
10.76587914/u8z0j47,INFN Tor Vergata
10.24943004/j5u6x04,University of Rome Sapienza
10.36314220/b3b9d39,University of Massachusetts
10.39650669/b9f1j73,Stanford University
10.42526697/c2b5q16,University of Grenoble
10.78833372/k1r0e45,Leibniz Universität Hannover
10.27219773/f1l5j96,Sun Yat-Sen (Zhongshan) University
10.65173040/a8a4p04,Lehigh University
10.47432727/t1b8h73,University of Paderborn
10.88215439/e6i7y37,B. I. Stepanov Institute of Physics
10.90471513/a4k0l83,Universidad Complutense
10.98510987/a4r9n79,Max-Planck-Institut für die Physik des Lichts
10.88020180/r6y4b53,The University of Dublin
10.89002102/o2b4f18,National Centre for Computational Design and Discovery of Novel Materials (MARVEL)
10.73493481/s9i6n86,National University of Singapore
10.37808910/k3a1r67,Northwestern Polytechnical University
10.46667559/t3l1m90,Zhejiang University
10.82514202/o6c3k66,Hebei University
10.23631129/w5v8b54,Zhengzhou University
10.50360023/s8z6h05,University of Nebraska
10.11442441/y9t6z47,National University of Singapore (Suzhou) Research Institute
10.60869588/j7s1z03,Anhui University
10.19967364/q6g9u10,California State University
10.73103346/y4p9z89,Vienna University of Technology
10.92365493/q1b4n17,CEA
10.60962450/l1k6y96,The University of Hong Kong
10.6314989/n7p9l14,The Hong Kong University of Science and Technology (Guangzhou)
10.38608472/w6q0p47,"University of California, San Diego"
10.73652087/p1x2t67,Jülich Aachen Research Alliance (JARA)
10.36443083/q9h1m13,Institute of Materials Research and Engineering (IMRE)
10.7207453/d2k2x68,Shanghai University
10.10837105/t9w4v49,Nanyang Technological University
10.33643778/d5q4a50,Universität zu Köln
10.64070691/o3l8h61,University of York
10.49663637/c0d8b64,University of Barcelona
10.94750902/v0e6h58,University of Ilorin
10.58476962/r2z7u70,WASS
10.97509916/l3r7h10,Marketing and Consumer Behaviour
10.58727567/g1d9t00,MTA-SZTE
10.7589070/u4b0s53,Chongqing Technology  and  Business  University
10.87980354/h2p3n70,University of Kent
10.80957923/c0v9g22,George Mason University
10.10098525/u0k6w53,University of Fribourg (Switzerland)
10.59101724/f1z9t20,FSAEI of HE &quot;Far Eastern Federal University&quot;
10.69299670/v0u9t07,FSBEI of HE “Linguistics University of Nizhny Novgorod”
10.41023048/d2g4e01,FSBEI of HE “I.N. Ulianov Chuvash State University”
10.2507585/i1u6u82,FGBOU VO &quot;Kemerovskii gosudarstvennyi universitet&quot;
10.38426026/y9u3d90,Institut za jezik Sveučilišta u Sarajevu
10.63421884/f6w9l22,University of Prishtina
10.94159067/c1r7n09,University of Camerino
10.48574050/u6s8h48,Louisiana State University and Agricultural and Mechanical College
10.61589730/p6b9z83,Corporación Universitaria de Ciencia y Desarrollo
10.700791/o1u9k75,Universidad de Buenos Aires
10.35682712/p4j7v65,"ELKH Bölcsészettudományi Kutatóközpont
									Irodalomtudományi Intézet"
10.57291265/d5g7r20,Farm Technology Group
10.39042649/a4z5p85,PE&RC
10.72334163/i0i4c02,Food Quality and Design
10.27458480/k4d7i33,VLAG
10.45228688/u5z3c87,Biochemistry
10.89597155/c5i2i04,Animal Nutrition
10.5865882/d4c6d13,University of Colorado Boulder
10.38494770/p9n2x36,Food Process Engineering
10.91668358/l4u1t44,Институт русской литературы (Пушкинский Дом) Российской академии наук
10.46592879/u1m7z89,Universidad Nacional de San Agustín de Arequipa
10.5581584/y0e9x99,Knowledge Technology and Innovation
10.78717211/g5y7p86,Soochow University
10.61736127/d7q9r66,University of Pretoria
10.68602161/o1d2n16,Universität Potsdam
10.20163213/w2g5a77,"University of Vienna, AT"
10.48044215/i1c1y38,A.S. Pushkin Brest State University
10.90636764/s0h6z62,Hungarian University of Agriculture and Life Sciences
10.15013182/l8s2e66,"Department of Ecology and Evolutionary Biology, University of Arizona"
10.97751526/i8g7n58,University of Utah
10.63154285/r7l5w57,"Department of Cell, Developmental and Regenerative Biology, Graduate School of Biomedical Sciences, Icahn School of Medicine at Mount Sinai"
10.2341043/r2t1m72,"Hubei Engineering Research Center for Protection and Utilization of Special Biological Resources in the Hanjiang River Basin, College of Life Sciences, Jianghan University"
10.20611781/u2f5u57,"Liandong Yang is at the State Key Laboratory of Freshwater Ecology and Biotechnology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, China"
10.24800379/d6w3l53,"Department of Molecular & Cellular Endocrinology, Arthur Riggs Diabetes and Metabolism Research Institute, City of Hope Medical Center"
10.84940278/t3c8y33,"Department of Molecular & Cellular Endocrinology, Arthur Riggs Diabetes and Metabolism Research Institute and the Comprehensive Cancer Center, Beckman Research Institute, City of Hope Medical Center"
10.31758761/v6p5f65,"Miller Institute for Basic Research in Science, University of California, Berkeley"
10.85369377/i8v3l51,"Department of Neurology, Department of Pediatrics, Department of Anatomy and Neurobiology, College of Medicine, University of Tennessee Health Science Center"
10.23845200/a6g9m95,"Interdisciplinary Graduate Program in Quantitative Biosciences, Georgia Institute of Technology"
10.11581823/s5f4k18,"School of Biological Sciences, Georgia Institute of Technology"
10.8934641/h9t1g83,"Key Laboratory of Molecular Design for Plant Cell Factory of Guangdong Higher Education Institutes, Department of Biology, School of Life Sciences, Southern University of Science and Technology"
10.84648234/o9s5w39,"Institut Pasteur, Department of Developmental and Stem Cell Biology, Université de Paris Cité, CNRS UMR3738, F-75015"
10.82031767/x8k6i72,"Department of Cell and Developmental Biology, Department of Dermatology, and Rogel Cancer Center, University of Michigan Medical School"
10.93613528/z4a9h49,Healthcare Improvement Scotland
10.30534821/l1l4y74,"School of Cellular and Molecular Medicine, Faculty of Life Sciences, University of Bristol"
10.32647056/q4o1w36,"Bristol Veterinary School, Faculty of Health Sciences, University of Bristol"
10.41927340/h8t4q99,"Department of Anthropology, Hacettepe University"
10.95217661/i9s3i86,"Melbourne Integrative Genomics, School of Biosciences and Department of Microbiology and Immunology at the Peter Doherty Institute for Infection and Immunity, University of Melbourne"
10.58761308/w2p5y65,"Maastricht University, Department of Pharmacology and Personalised Medicine, Maastricht (The Netherlands)"
10.94124565/k6t5v59,"Zagazig University, Department of Pharmacology and Toxicology, Zagazig (Egypt)"
10.58647881/e7b9k74,"Maastricht University, Department of Psychology and Neuropsychology, Maastricht (The Netherlands)"
10.56672071/m8j2j36,Liaocheng University
10.78771906/r5q6q45,Şırnak University
10.25314185/t4e0k56,Kilis 7 Aralık University
10.42322626/t5e7p97,Erzurum Technical University
10.32406738/s9o0h57,Karamanoglu Mehmetbey University
10.94500292/l7s3w05,Universidad Politécnica de Madrid
10.95669543/m8z0a54,Malatya Turgut Ozal University
10.98658026/g8q8s94,Dicle University
10.13167025/o0q3z41,Balıkesir University
10.59984715/y4w3p72,Selcuk University
10.71432352/n6k7r86,Inonu University
10.50122456/b8i8a88,Bingöl University
