id,affiliation_name,affiliation_id
10.84566857/t5j3z40,University of Edinburgh,https://ror.org/01nrxwf90
10.71483434/x9f9p92,UCLA,https://ror.org/046rm7j60
10.96015698/p6i6a74,Purdue University,https://ror.org/02dqehb95
10.34092287/a8h8f54,University of Virginia,https://ror.org/0153tk833
10.92256278/p0a9x66,Erasmus University Rotterdam,https://ror.org/057w15z03
10.13232799/h3b7m37,Cornell University,https://ror.org/05bnh6r87
10.11118206/q1t8p23,Vrije Universiteit Amsterdam,https://ror.org/008xxew50
10.60822022/e5w0g87,Duke University,https://ror.org/00py81415
10.80695375/q3r0c86,Metadata Game Changers,https://ror.org/05bp8ka05
10.32959382/x4a4f18,Brown University,https://ror.org/05gq02987
10.16362429/n5t7z05,École Polytechnique Fédérale de Lausanne,https://ror.org/02s376052
10.29407414/n6w8i61,Université de Fribourg (Suisse),https://ror.org/022fs9h90
10.36489486/k1j9e12,University of British Columbia,https://ror.org/03rmrcq20
10.28310270/g7a3a05,University of Amsterdam,https://ror.org/04dkp9463
10.4319445/n3h9y52,FSEI of HPE &quot;Moscow Stаte Lomonosov University&quot;,https://ror.org/010pmpe69
10.49486480/r2y7l39,Belarus State University,https://ror.org/021036w13
10.2263994/r0a2n36,Boise State University,https://ror.org/02e3zdp86
10.35691013/i7e2c09,Forest Products Laboratory,https://ror.org/031sp1p50
10.71741106/z3z5v55,Federal Reserve Bank of Cleveland,https://ror.org/01wxdvj03
10.71919060/q0i4p85,University of North Carolina at Chapel Hill,https://ror.org/00mkhxb43
10.78989530/c6y7k62,Obafemi Awolowo University,https://ror.org/04snhqa82
10.50589358/u3q6m07,Yangzhou University,https://ror.org/03tqb8s11
10.98154565/u4q9c24,Assiut University,https://ror.org/01jaj8n65
10.58799021/k9i0g34,Zagazig University,https://ror.org/053g6we49
10.23510793/r5s1q17,Queensland Health,https://ror.org/00c1dt378
10.65808382/x7q1q53,Sunshine Coast University Hospital,https://ror.org/017ay4a94
10.18506800/m0c3q15,Queensland Children’s Hospital,https://ror.org/02t3p7e85
10.11076088/n3x0i85,Szegedi Tudományegyetem,https://ror.org/01pnej532
10.4723730/x7s8c26,Tohoku Egyetem,https://ror.org/01dq60k83
10.15047398/x3l1n62,Pázmány Péter Katolikus Egyetem,https://ror.org/05v9kya57
10.92279310/j4o9q90,Idaho State University,https://ror.org/0162z8b04
10.82808199/e9h9h40,"United States Department of Agriculture, Agricultural Research Service",https://ror.org/02d2m2044
10.2455067/u5d5f12,Széchenyi István Egyetem,https://ror.org/04091f946
10.11182936/k2x2s05,Budapesti Gazdasági Egyetem,https://ror.org/00r3jwh90
10.65414504/m2h8r07,University of Valladolid,https://ror.org/01fvbaw18
10.52181075/c9h4w08,Defence Institute of Advanced Technology,https://ror.org/05qpbfx18
10.97158099/t9q5u88,"Huazhong University of Science and Technology School of Artificial Intelligence and Automation, The MOE Key Laboratory of Image Processing and Intelligent Control, , Wuhan 4300074 , China",https://ror.org/00p991c53
10.79136195/k5r0y35,Christian-Albrechts-Universität zu Kiel,https://ror.org/04v76ef78
10.70094832/g5i7o81,Maastricht University,https://ror.org/02jz4aj89
10.2184221/c6n3x95,Virginia Commonwealth University,https://ror.org/02nkdxk79
10.5605026/z4q0v40,Shanghai Jiao Tong University,https://ror.org/0220qvk04
10.39063538/l8l2j27,South China Normal University,https://ror.org/01kq0pv72
10.41805773/t2x5t90,Renmin University of China,https://ror.org/041pakw92
10.78330815/r6a3c49,Nankai University,https://ror.org/01y1kjr75
10.30801839/w3m7a31,INFN Sezione di Torino,https://ror.org/01vj6ck58
10.56298103/q3v9c09,Institut des Hautes Etudes Scientifiques,https://ror.org/05d5m2r55
10.37056782/a6b3d25,The Pennsylvania State University,https://ror.org/04p491231
10.15695216/y1f6j68,"University of California, Berkeley",https://ror.org/01an7q238
10.46625923/r1g9p40,Friedrich-Schiller-Universität Jena,https://ror.org/05qpz1x62
10.77038805/s7k9s29,University of Pannonia,https://ror.org/03y5egs41
10.82412002/o1a0s62,University of Tübingen,https://ror.org/03a1kwz48
10.48180115/s3j6b83,National United University,https://ror.org/04twccc71
10.96562019/z8u0t42,Central South University,https://ror.org/00f1zfq44
10.23481451/m6m4i97,Université Paris-Saclay,https://ror.org/03xjwb503
10.53215605/i4r9v74,Catholic University of Korea,https://ror.org/01fpnj063
10.98777787/n2c8i87,Ohio University,https://ror.org/01jr3y717
10.61905855/p2k7s50,Nuclear Physics Institute of the Czech Academy of Sciences,https://ror.org/04jymbd90
10.62735233/u1c8s14,Ludong University,https://ror.org/028h95t32
10.99070817/w6m4d92,Naval Aviation University,https://ror.org/02j2yhq26
10.96493007/t5p0m89,Beijing Normal University,https://ror.org/022k4wk35
10.76578799/f2b5v24,Korea Institute for Advanced Study,https://ror.org/041hz9568
10.53862189/b2u7n53,Kyoto University,https://ror.org/02kpeqv85
10.78308446/h4z3t71,National Tsing Hua University,https://ror.org/00zdnkx70
10.81326888/x4k6u82,The University of Tokyo,https://ror.org/057zh3y96
10.47145743/h7q3r59,SPring-8/JASRI,https://ror.org/01xjv7358
10.87963329/q5q3r90,Tohoku University,https://ror.org/01dq60k83
10.14509407/u1b7g86,Central Research Institute of Electric Power Industry,https://ror.org/041jswc25
10.42000914/k8m7x61,University of Cologne,https://ror.org/00rcxh774
10.83495751/y1d8f62,Ames Laboratory,https://ror.org/041m9xr71
10.19060914/n9s2q54,Iowa State University,https://ror.org/04rswrd78
10.20016390/a6g8l20,University of Rochester,https://ror.org/022kthw22
10.3232180/k2z0u83,SLAC National Accelerator Laboratory,https://ror.org/05gzmn429
10.17508467/n2y3b69,Montana State University,https://ror.org/02w0trx84
10.70514463/j6e1r34,University of Fribourg,https://ror.org/022fs9h90
10.66183742/i0e7w04,Fritz-Haber-Institut der Max-Planck-Gesellscahft,https://ror.org/03k9qs827
10.5280544/x0s4e16,Diamond Light Source,https://ror.org/05etxs293
10.1934509/t7h3p31,University of West Bohemia,https://ror.org/040t43x18
10.16447344/r3v0e46,Institut Jean Lamour,https://ror.org/05k1smh27
10.26183005/r2m6a72,Max Planck Institute for Chemical Physics of Solids,https://ror.org/01c997669
10.28573778/u5i0c40,University of Geneva,https://ror.org/01swzsf04
10.14176198/n4g4t75,Indian Institute of Technology Mandi,https://ror.org/05r9r2f34
10.10630918/l5j0v31,Indian Institute of Technology Goa,https://ror.org/02v7trd43
10.39987971/l4n4f98,High Energy Accelerator Research Organization (KEK),https://ror.org/01g5y5k24
10.42213752/y2l9z22,Lomonosov Moscow State University,https://ror.org/010pmpe69
10.78471826/w3q8w04,Ioffe Institute,https://ror.org/05dkdaa55
10.52793183/e2r9v67,University of Zurich,https://ror.org/02crff812
10.56637257/e6c3s23,Ghent University,https://ror.org/00cv9y106
10.90072322/y8y8v33,Warsaw University of Technology,https://ror.org/00y0xnp53
10.96007146/f7l0n90,University of Warsaw,https://ror.org/039bjqg32
10.86579917/h6s1s08,"University of California, Santa Barbara",https://ror.org/02t274463
10.75290133/u4g1i41,University of South Carolina,https://ror.org/02b6qw903
10.53449856/f9h4d13,Helmholtz-Zentrum Dresden-Rossendorf,https://ror.org/01zy2cs03
10.45439986/u1k5d16,University of Augsburg,https://ror.org/03p14d497
10.54804190/c8r7q73,Institute of Applied Physics,https://ror.org/03eaxvz05
10.11700289/b0q1q09,TU Dresden,https://ror.org/042aqky30
10.34269144/d8q8n06,Freie Universität Berlin,https://ror.org/046ak2485
10.43959348/d6s5v19,Université Paris Cité,https://ror.org/05f82e368
10.37665194/z9i9s92,Laboratoire Matériaux et Phénomènes Quantiques,https://ror.org/02p3et738
10.2743505/g5t6v44,Institute for Advanced Study,https://ror.org/00f809463
10.14674659/q3w9y22,"Laboratoire de Physique de l'Ecole normale supérieure, ENS",https://ror.org/03a26mh11
10.97478567/f6r0u67,University of Colorado Colorado Springs,https://ror.org/054spjc55
10.65209710/c6o5y34,Nanjing University of Posts and Telecommunications,https://ror.org/043bpky34
10.54073241/y9v8q31,East China Normal University,https://ror.org/02n96ep67
10.71320217/c5v8h07,University of Minnesota,https://ror.org/017zqws13
10.28010694/c6f4s81,The University of Texas at Austin,https://ror.org/00hj54h04
10.57972065/c4o9u70,University of Luxembourg,https://ror.org/036x5ad56
10.82011306/c0u9k07,Earth and Planets Laboratory,https://ror.org/02h41sr05
10.31330495/u1e8i67,Carnegie Institution for Science,https://ror.org/04jr01610
10.12342558/x9d2q95,University of Cambridge,https://ror.org/013meh722
10.1694969/u4b3q94,Advanced Institute for Materials Research,https://ror.org/00p5prq49
10.74116437/c8p7s55,Graz University of Technology,https://ror.org/00d7xrm67
10.79268604/b2j8i77,European Synchrotron Radiation Facility,https://ror.org/02550n020
10.22206078/a1q9w64,Advanced Light Source,https://ror.org/00319zh75
10.75093177/g4t5w19,Lawrence Berkeley National Laboratory,https://ror.org/02jbv0t02
10.32859602/i8v3e78,Intellectual Ventures,https://ror.org/05evsnd79
10.22015436/e9k0r84,Paul Scherrer Institut,https://ror.org/03eh3y714
10.34663906/f0u0b36,Shandong University,https://ror.org/0207yh398
10.42385698/v5y0d04,Instituto de Telecomunicações,https://ror.org/02ht4fk33
10.52201537/k4g7m49,University of Lisbon,https://ror.org/01c27hj86
10.258425/x6x3o62,Universidade do Minho,https://ror.org/037wpkx04
10.12636613/o8t5s32,Universidade Federal do Rio de Janeiro,https://ror.org/03490as77
10.53607720/h7j1o87,Tianjin University,https://ror.org/012tb2g32
10.18064961/c9d6n53,Inner Mongolia University,https://ror.org/0106qb496
10.15134590/q2f3u09,Oak Ridge National Laboratory,https://ror.org/01qz5mb56
10.28090045/c5m5e02,Brigham Young University,https://ror.org/047rhhm47
10.19354036/j9f0r51,TRIUMF,https://ror.org/03kgj4539
10.50090695/q6x6y78,North Carolina State University,https://ror.org/04tj63d06
10.91488395/g7w2w22,Institute of Physics,https://ror.org/05cvf7v30
10.75744457/f0i6p69,Chinese Academy of Sciences,https://ror.org/034t30j35
10.64052958/c7c1c27,University of California San Diego,https://ror.org/0168r3w48
10.75741756/t3x5l79,Michigan State University,https://ror.org/05hs6h993
10.83597665/r0e2l60,University of Florida,https://ror.org/02y3ad647
10.66641134/t9g6f64,University of Alabama at Birmingham,https://ror.org/008s83205
10.71442158/j4n8y21,Rice University,https://ror.org/008zs3103
10.20593981/d2p4q95,Max Planck Institute for Physics of Complex Systems,https://ror.org/01bf9rw71
10.60592339/h8c5w29,Queen Mary University of London,https://ror.org/026zzn846
10.26119200/k6q0s21,Indian Institute of Technology,https://ror.org/05pjsgx75
10.65899843/q9a7i89,Bhabha Atomic Research Centre,https://ror.org/05w6wfp17
10.4934433/b5u6b68,Homi Bhabha National Institute,https://ror.org/02bv3zr67
10.133861/j0c5q54,"Indian Institute of Science Education and Research, Bhopal",https://ror.org/02rb21j89
10.28355501/p8d3p42,"Institute of Physics, Bhubaneswar",https://ror.org/01741jv66
10.89093016/s8u5f38,Joint Quantum Institute,https://ror.org/04xz38214
10.75663576/r8z2s95,"University of Maryland, College Park",https://ror.org/047s2c258
10.35986369/e6v5y15,Kavli Institute for Theoretical Physics,https://ror.org/02t274463
10.49272748/o5w8w48,Universität Regensburg,https://ror.org/01eezs655
10.88616130/n6m2b16,University of Konstanz,https://ror.org/0546hnb39
10.27189850/v4a6s32,University of Texas,https://ror.org/00hj54h04
10.85222142/l3e6u29,Ames National Laboratory,https://ror.org/041m9xr71
10.23770695/z3p0l25,University of Science and Technology Beijing,https://ror.org/02egmk993
10.66951423/z1m8p21,National Center for Nanoscience and Technology,https://ror.org/04f49ff35
10.49067888/a4y9s89,"Institute of Physics, Chinese Academy of Sciences",https://ror.org/05cvf7v30
10.5988961/r0v8k86,Université de Perpignan via Domitia,https://ror.org/03am2jy38
10.64548288/u5w5r24,"Kavli Institute for Theoretical Physics, University of California",https://ror.org/02t274463
10.24053376/k2g9w64,University of Manchester,https://ror.org/027m9bs27
10.47534078/y7m4a95,University of Toronto,https://ror.org/03dbr7087
10.76302068/i5k9g45,Università di Roma La Sapienza,https://ror.org/02be6w209
10.69090394/g3i1a68,Istituto Italiano di Tecnologia,https://ror.org/042t93s57
10.96630632/o6c6y37,Laboratoire Charles Coulomb,https://ror.org/02ftce284
10.23573952/y5r9d58,Université de Montpellier,https://ror.org/051escj72
10.39937654/f8r7s44,Universidad Nacional de La Plata,https://ror.org/01tjs6929
10.33108220/q2q0u32,Universidad Adolfo Ibáñez,https://ror.org/0326knt82
10.84343258/z0f6k53,University of Melbourne,https://ror.org/01ej9dk98
10.34123236/y3i2l13,University of Hamburg,https://ror.org/00g30e956
10.49572414/e6v0v76,Indian Institute of Technology Guwahati,https://ror.org/0022nd079
10.97757898/j2c9o36,Université Libre de Bruxelles,https://ror.org/01r9htc13
10.91101337/z9u6u88,Université de Montréal,https://ror.org/0161xgx34
10.42393723/l7c4v38,"Institute of Physics, Polish Academy of Sciences",https://ror.org/000sfad56
10.96404377/b0l6y80,"Institute of Low Temperature and Structure Research, Polish Academy of Sciences",https://ror.org/04xdyc983
10.9413074/j9t0f57,Universität Heidelberg,https://ror.org/038t36y30
10.62454972/r5p4b45,University College London,https://ror.org/02jx3x895
10.48432201/p6v7c60,Innospec Ltd.,https://ror.org/03ar2j538
10.22231398/k5c1o38,The University of Oklahoma,https://ror.org/02aqsxs83
10.45894472/i9x8k06,Delft University of Technology,https://ror.org/02e2c7k09
10.37106031/m8t1q49,Center for Quantum Nanoscience,https://ror.org/01n93gn67
10.57564540/b3a5h66,EWHA Womans University,https://ror.org/053fp5c05
10.13681671/q2p2k92,"Universidad de La Laguna, La Laguna",https://ror.org/01r9z8p25
10.10029626/s9c0o20,Institute of Electrophysics,https://ror.org/051jjt714
10.90025503/l6y1f28,Skolkovo Institute of Science and Technology,https://ror.org/03f9nc143
10.76215074/h7h0r83,Lebedev Physical Institute,https://ror.org/01jkd3546
10.69912940/y1u7e90,Landau Institute for Theoretical Physics,https://ror.org/00z65ng94
10.5142441/q9h1i12,Max-Planck-Institut für Kernphysik,https://ror.org/052d0h423
10.69786983/t4x1w15,J. Heyrovský Institute of Physical Chemistry,https://ror.org/02sat5y74
10.53636522/d2m6t88,Universität Innsbruck,https://ror.org/054pv6659
10.21106719/q4j6z13,Shenzhen University,https://ror.org/01vy4gh70
10.78793695/i1c6v04,Quantum Science Center of Guangdong-Hong Kong-Macao Greater Bay Area (Guangdong),https://ror.org/03qb6k992
10.57552171/z5f0k64,Tencent,https://ror.org/00hhjss72
10.51602161/w8i8v84,The Chinese University of Hong Kong,https://ror.org/00t33hh48
10.85492436/k3o4p53,Hainan University,https://ror.org/03q648j11
10.43996481/w6c8z61,Harbin Institute of Technology,https://ror.org/01yqg2h08
10.2698066/q7o6t48,University of Granada,https://ror.org/04njjy449
10.58836219/s1a2n78,University of Science and Technology of China,https://ror.org/04c4dkn09
10.110167/b0o7s55,Kavli Institute for the Physics and Mathematics of the Universe (WPI),https://ror.org/02chw6z69
10.36893396/f9t9n48,CY Cergy Paris Université,https://ror.org/043htjv09
10.90536959/g2i6a54,SISSA and INFN,https://ror.org/004fze387
10.11495912/f1c5g36,Institute for Complex Systems,https://ror.org/05rcgef49
10.60271055/j4c1y99,Max Planck Institute for the Science of Light,https://ror.org/020as7681
10.32757683/g7h4w32,Sapienza University of Rome,https://ror.org/02be6w209
10.84028105/b8k8h75,Harish-Chandra Research Institute,https://ror.org/0165d9303
10.54776494/n9g5n69,Trinity College Dublin,https://ror.org/02tyrky19
10.79308720/l3w4g22,Universidad de Chile,https://ror.org/047gc3g35
10.59940776/m0n2k46,Southern University of Science and Technology,https://ror.org/049tv2d57
10.66906133/c3q5v11,Los Alamos National Laboratory (LANL),https://ror.org/01e41cf67
10.38129347/t6l2w17,Los Alamos National Laboratory,https://ror.org/01e41cf67
10.36946701/o3i4i31,Chinese Academy of Sciences,https://ror.org/05cvf7v30
10.5927177/o7k4u03,University of Chinese Academy of Sciences,https://ror.org/05qbk4x57
10.37293606/t2z0l86,Songshan Lake Materials Laboratory,https://ror.org/020vtf184
10.8426108/m8e2f07,Ruđer Bošković Institute,https://ror.org/02mw21745
10.97622984/c7h3d34,Istituto Nazionale di Fisica Nucleare,https://ror.org/005ta0471
10.67040069/g9g2x91,Laboratori Nazionali di Legnaro,https://ror.org/025e3ct30
10.9910382/h8k0a25,Università di Padova,https://ror.org/00240q980
10.85656932/f2q7f11,Università di Torino,https://ror.org/048tbm396
10.7865573/j9g4m48,The Henryk Niewodniczanski Institute of Nuclear Physics,https://ror.org/01n78t774
10.94118940/u8a2m35,Universidad Complutense de Madrid,https://ror.org/02p0gd045
10.25912472/p3k8b85,Instituto de Física Corpuscular CSIC,https://ror.org/043nxc105
10.65709236/b6l3t59,University of Zagreb,https://ror.org/00mv6sv71
10.4574412/m4y7k49,Argonne National Laboratory,https://ror.org/05gvnxz63
10.38620295/o6r1n42,Istituto Nazionale di Fisica Nucleare,https://ror.org/05478fx36
10.56315662/q9c9i69,University of Waterloo,https://ror.org/01aff2v68
10.90090120/z9g1s85,Perimeter Institute for Theoretical Physics,https://ror.org/013m0ej23
10.76011505/v1g6s64,University of California,https://ror.org/03nawhv43
10.3776328/h4f8q94,RWTH Aachen University,https://ror.org/04xfq0f34
10.21222006/e1x1x35,Indian Institute of Technology (ISM) Dhanbad,https://ror.org/013v3cc28
10.63557483/n8w6n07,Institute of Magnetism,https://ror.org/04hpd0e20
10.40154728/r0m8q53,Fritz-Haber Institute of the Max Planck Society,https://ror.org/03k9qs827
10.56893592/e3h3k84,The Institute of Mathematical Sciences,https://ror.org/05078rg59
10.12382325/u9o8q89,Budker Institute of Nuclear Physics,https://ror.org/03e5eem51
10.47528497/b1r0c55,Hamburg University,https://ror.org/00g30e956
10.73216555/t0i8d44,National Institute of Science Education and Research,https://ror.org/02r2k1c68
10.34779255/g8u7s05,Tsinghua University,https://ror.org/03cve4549
10.30352112/j9s9c33,Beijing Academy of Quantum Information Sciences,https://ror.org/04nqf9k60
10.3802540/p7i9l36,Washington University in St. Louis,https://ror.org/01yc7t268
10.39464730/x1r4g61,Old Dominion University,https://ror.org/04zjtrb98
10.19448695/p6p3d20,Jefferson Lab,https://ror.org/02vwzrd76
10.70685984/a9d9a91,Fritz-Haber-Institut der Max-Planck-Gesellschaft,https://ror.org/03k9qs827
10.51327582/u1s8b92,Niels Bohr Institute,https://ror.org/035b05819
10.63852976/g1o9m33,University of Copenhagen,https://ror.org/035b05819
10.58410094/j6m1v75,Istituto Officina dei Materiali,https://ror.org/00yfw2296
10.97053330/k8i3c65,Donostia International Physics Center,https://ror.org/02e24yw40
10.16250794/p3g6i76,National Research Council of Canada,https://ror.org/04mte1k06
10.75188074/h6j7g80,École Polytechnique de Montréal,https://ror.org/05f8d4e86
10.40489208/t4w0o61,CERN,https://ror.org/01ggx4157
10.62148792/n7n3x30,Northwestern University,https://ror.org/000e0be47
10.85659493/b2d6g87,Indiana University,https://ror.org/01kg8sb98
10.70013382/d2e4z02,The University of Manchester,https://ror.org/027m9bs27
10.57624154/e1v4k72,Université Grenoble Alpes,https://ror.org/02rx3b187
10.43225104/d9x7l82,Institut Néel,https://ror.org/04dbzz632
10.34729617/z3k4c35,PHELIQS,https://ror.org/01kbr1737
10.19441669/i4b3o13,Institute of Theoretical Physics,https://ror.org/02xtbq882
10.53868335/e6e9x24,ETH Zürich,https://ror.org/05a28rw58
10.81320533/u3d8d37,Weizmann Institute of Science,https://ror.org/0316ej306
10.85476258/b3y9k54,SISSA,https://ror.org/004fze387
10.48313320/s7y9c08,Kiel University,https://ror.org/04v76ef78
10.56922491/d9a5j08,McGill University,https://ror.org/01pxwe438
10.27531453/b1x3y83,ETH Zurich,https://ror.org/05a28rw58
10.34045281/y7o9l10,Vanderbilt University,https://ror.org/02vm5rt34
10.31665998/f9l8v92,the Ohio State University,https://ror.org/00rs6vg23
10.6431438/c2v7i13,Wuhan University,https://ror.org/033vjfk17
10.37894609/y5g1a29,Tel Aviv University,https://ror.org/04mhzgx49
10.46375564/c3q0j35,Shandong University of Technology,https://ror.org/02mr3ar13
10.4440019/k9i5r81,Shandong Normal University,https://ror.org/01wy3h363
10.74129112/a4v4a38,Institute of Microscale Optoelectronics Shenzhen University,https://ror.org/01vy4gh70
10.72401803/r8q9m61,Zhejiang Lab,https://ror.org/02m2h7991
10.77422771/b5u9n33,Gulliver,https://ror.org/058z3vf87
10.83232439/u4j9d20,PSL Research University,https://ror.org/04y8cs423
10.76952334/j9i6p67,Fudan University,https://ror.org/013q1eq08
10.53880201/r5p5e44,ShanghaiTech University,https://ror.org/030bhh786
10.25215404/h0i6y13,Universität Ulm,https://ror.org/032000t02
10.68881848/z9q1x96,Université Côte d’Azur,https://ror.org/019tgvf94
10.19238344/q6v1a25,Institut de Physique de Nice,https://ror.org/042cesy50
10.27437055/b8r5q91,University of Duisburg-Essen,https://ror.org/04mz5ra38
10.21959991/n8g6c00,University of Vienna,https://ror.org/03prydq77
10.10167816/e0j6w60,Ulm University,https://ror.org/032000t02
10.80081489/r0m1f25,Harvard University,https://ror.org/03vek6s52
10.96440759/y6c5p53,Simons Foundation,https://ror.org/01cmst727
10.31232720/n7r0c00,The University of Edinburgh,https://ror.org/01nrxwf90
10.11476862/n7u1c28,GSI Helmholtzzentrum für Schwerionenforschung,https://ror.org/02k8cbn47
10.71724594/d6o6j04,Institute of Modern Physics,https://ror.org/03x8rhq63
10.53591305/p3y7o05,Technische Universität Darmstadt,https://ror.org/05n911h24
10.87221775/i2m2k52,University of Salzburg,https://ror.org/05gs8cd61
10.96884910/t2s2l10,University of Štip,https://ror.org/058q1cn43
10.49049450/r0t6r60,University of Belgrade,https://ror.org/02qsmb048
10.22009957/r9e2r39,Justus-Liebig-Universität Gießen,https://ror.org/033eqas34
10.56581576/a0g0v43,University of Victoria,https://ror.org/04s5mat29
10.93314124/w2a5r58,Technische Universität München,https://ror.org/02kkvpp62
10.2777922/n3i3e88,J.W. Goethe Universität,https://ror.org/04cvxnb49
10.80180576/x2h8a02,GSI Helmholtz Center for Heavy Ion Research,https://ror.org/02k8cbn47
10.15186559/j8u3m87,RIKEN,https://ror.org/05tqx4s13
10.57474702/x4d3h26,Institut des NanoSciences de Paris,https://ror.org/03t2f0a12
10.12808366/n0c6r62,Saitama University,https://ror.org/02evnh647
10.52044574/p1f2k53,Technische Universität Dresden,https://ror.org/042aqky30
10.86063236/c3i4w29,Laboratori Nazionali di Frascati,https://ror.org/049jf1a25
10.52501540/x1o1q41,Institut de Physique des 2 Infinis de Lyon (IP2I),https://ror.org/02avf8f85
10.43782685/r6g4l74,Laboratori Nazionali del Gran Sasso,https://ror.org/02s8k0k61
10.49742074/c9o0u66,HEPC-NICPB,https://ror.org/03eqd4a41
10.88793183/k8y7c63,California Institute of Technology,https://ror.org/05dxps055
10.47590195/h7f6g22,Eberhard Karls Universität Tübingen,https://ror.org/03a1kwz48
10.64843161/l3c6c28,The University of Nottingham,https://ror.org/01ee9ar58
10.53591545/p0z2s52,University of Gdańsk,https://ror.org/011dv8m48
10.20762542/u0b5v95,University of Gdansk,https://ror.org/011dv8m48
10.38799790/b9a1o31,Universidade do Porto,https://ror.org/043pwc612
10.75530316/k9s9k95,INESC TEC,https://ror.org/05fa8ka61
10.69756390/b2h2o89,Indian Institute of Science,https://ror.org/04dese585
10.81523061/h2c6i84,Indian Institute of Science Education and Research Thiruvananthapuram,https://ror.org/01pe3t004
10.90057274/j4x2m13,Bose Institute,https://ror.org/01a5mqy88
10.43040213/b1y2h04,Raman Research Institute,https://ror.org/01qdav448
10.22935651/p8w2e53,Pohang University of Science and Technology,https://ror.org/04xysgw12
10.53504630/y0r0j23,University of Michigan,https://ror.org/00jmfr291
10.20548498/f3u4t56,The Abdus Salam International Centre for Theoretical Physics,https://ror.org/009gyvm78
10.37114332/z9a7x59,Universidad Autónoma de Madrid,https://ror.org/01cby8j38
10.36843658/p9d6j24,Lund University,https://ror.org/012a77v79
10.77404787/j8a0z49,Institut des Hautes Études Scientifiques,https://ror.org/05d5m2r55
10.35840328/b0w0p60,University of Pisa,https://ror.org/03ad39j10
10.48006302/u0x3x17,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences,https://ror.org/040r57n67
10.51570702/k1k7r49,University of Nottingham,https://ror.org/01ee9ar58
10.46382440/e0e7d80,Max-Planck-Institut für Quantenoptik,https://ror.org/01vekys64
10.66314439/c1d0o49,University of Basel,https://ror.org/02s6k3f65
10.26046023/l6w8h88,Swiss Nanoscience Institute,https://ror.org/02mrd0686
10.36173018/c7p7m85,University of Illinois,https://ror.org/05e94g991
